Date,BON032(Total),SAA Benchmark,Peer Group
2023-12-31,4.51877252680577,4.948046734121037,5.052501644995178
2024-01-31,7.196119349110663,8.444171163718561,7.717356011581877
2024-02-29,5.850970765386165,6.34884191122822,5.678732607043813
2024-03-31,4.907333052967955,5.564867327388812,4.336195441092294
2024-04-30,1.7451239071014868,1.4092751961522154,1.3428126040385013
2024-05-31,0.5071366051879744,0.8397081320620003,0.7995476969538506
2024-06-30,-0.5598628248480342,-0.19441716026612488,-0.44903915960111673
2024-07-31,4.501791185896775,5.066018311179321,3.981610448419759
2024-08-31,3.9666964185230302,4.307343774174255,3.475567431109128
2024-09-30,4.280446142090133,4.35768632446174,3.9077045480791384
2024-10-31,1.0574851433941435,1.4932425176008346,1.3002054433886245
2024-11-30,2.9178836519057505,3.6899833886888445,3.0790133086334937
